PERSON_ID,PUBLICATION_ID
442,15122037
442,2832764
442,2468540
442,2388657
442,2832404
442,2383919
442,32561671
442,2384027
442,33857766
442,2832506
442,2383967
442,8428551
442,2832687
442,2388638
442,7270215
442,2832131
468,7194191
468,9680968
468,2917274
468,2916978
468,2382969
468,2196851
468,2916541
468,2917188
468,2925265
468,2924177
468,2924194
468,2916670
468,7179837
468,15751709
468,2349738
468,7179890
468,2916602
468,2474534
468,9848513
468,2194443
468,2750855
468,15751518
468,45031465
468,2834056
468,2916684
484,2817487
531,2304656
531,2426476
531,2657764
564,2898316
564,2399027
564,2387251
564,16452375
575,8284458
575,6906440
575,6906220
575,6906539
575,6906678
575,8284597
605,2657541
605,2657614
605,2657620
605,2657609
605,2657604
605,2657531
605,2657504
605,2657670
607,2387464
607,2910469
607,9901709
607,2880987
607,2912580
607,9901731
607,9176119
607,14942582
607,2916927
607,8297182
607,2910507
607,2927770
607,2927688
607,2910556
607,14942742
607,2910412
607,34722231
607,2910380
607,7231452
607,9176252
607,8459519
607,2910636
608,32471779
608,32483572
608,32471754
608,32480968
608,32467726
608,32480956
708,8227778
708,8228040
723,2403781
723,7011302
723,54463493
723,2403845
723,54463550
723,8659017
740,8427960
740,2526586
740,8710421
740,2651074
740,2454049
740,8427918
740,2761399
740,8427869
740,2765653
740,2573241
753,32481964
769,7233671
769,7230027
769,7234116
769,2914264
769,7232952
769,9707636
769,9707610
769,2435617
769,7233095
769,2435501
769,49816245
769,2435528
769,7233233
805,2487663
805,2487602
878,8573258
878,2494868
878,9299343
878,9758669
878,6900679
878,9758133
878,2640527
878,16972316
878,9758187
878,9758569
878,52992018
878,2406294
878,2449269
878,2930747
878,2406221
878,9758269
878,2580439
878,2523422
878,8255101
878,2495718
878,9811497
878,8191694
878,2494945
878,9811401
878,2735155
878,33833277
878,2640592
878,2709601
878,2770915
878,6976744
878,9547282
878,2973806
878,8255167
878,7148658
878,6977139
878,2477045
878,2927796
878,9299270
878,2625450
878,45031505
878,9027842
878,2640555
878,45031465
878,9758321
878,2920383
878,6977354
878,2640435
878,2474303
878,34859247
878,2362965
878,13721372
878,9921963
885,2901595
885,2901522
885,89334380
885,89334614
885,2901834
885,8322985
890,45852661
890,45852622
890,45852573
890,2508720
890,2508768
890,45852536
890,2508700
890,45852495
897,2659413
897,2752669
908,2446512
908,2373447
908,8180600
908,2605260
908,9049015
908,2587416
908,2451413
908,2452499
908,2857706
908,2878999
908,2539887
908,2899962
908,2780524
908,2879049
908,2444990
908,2879023
908,2444984
908,2443299
908,7222685
908,8229808
908,2444911
908,2444934
908,8168863
908,2539880
908,8168835
922,2869420
922,10582358
922,9775023
922,9797878
922,2647682
936,2793155
936,2502756
944,2667872
944,2787598
944,2667979
944,2787636
944,2667996
944,2594351
944,2787589
944,2594357
944,2594258
944,2594025
944,2594073
944,2594339
944,2594057
944,2594345
944,2594281
944,2787643
944,2594294
944,2594322
944,2787620
944,2594313
944,2667906
969,2876442
969,2834647
969,2534009
969,2816053
969,2816107
969,2608778
969,2876471
969,2876482
970,2505014
970,2926296
970,2535382
970,2881135
970,9906520
970,2880514
970,2505002
970,2504929
970,2518443
970,2379167
970,2504969
970,2504938
970,2880828
970,9906441
970,2504985
970,8261286
970,2504943
976,2927688
991,2299119
991,17019607
997,7002262
1002,2978970
1002,2906154
